# Postal codes from GeoNames (geonames.org), licensed CC BY 4.0: one entry per code, named after its most populous place. Regenerated by tools\Update-PostalCodes.ps1 on 2026-09-12. Columns: code, place name, region, country, latitude, longitude.
E5M	Gagetown	New Brunswick	Canada	45.7701	-66.1617
E5N	Hampton	New Brunswick	Canada	45.5288	-65.8535
E5P	Apohaqui	New Brunswick	Canada	45.7599	-65.6704
E5R	St. Martins	New Brunswick	Canada	45.351	-65.5457
E5S	Kingston	New Brunswick	Canada	45.4098	-66.0932
E5T	Norton	New Brunswick	Canada	45.6508	-65.7302
E5V	Deer Island	New Brunswick	Canada	44.9862	-66.9694
E6A	Boiestown	New Brunswick	Canada	46.4558	-66.4198
E6B	Stanley	New Brunswick	Canada	46.3381	-66.9058
E6C	Durham Bridge	New Brunswick	Canada	46.1168	-66.5989
E6E	Millville	New Brunswick	Canada	46.1307	-67.1962
E6G	Nackawic	New Brunswick	Canada	45.9967	-67.2403
E6H	Canterbury	New Brunswick	Canada	45.8954	-67.4678
E6J	McAdam	New Brunswick	Canada	45.5923	-67.307
E6K	Harvey	New Brunswick	Canada	45.729	-67.0064
E6L	Burtts Corner	New Brunswick	Canada	45.9881	-67.0338
E7A	Baker Brook	New Brunswick	Canada	47.3	-68.7487
E7B	Saint-Jacques	New Brunswick	Canada	47.5655	-68.3127
E7C	Saint-Basile	New Brunswick	Canada	47.6583	-68.0684
E7E	Saint-Leonard	New Brunswick	Canada	47.173	-67.9247
E7G	Plaster Rock	New Brunswick	Canada	46.9065	-67.39
E7H	Perth-Andover	New Brunswick	Canada	46.7355	-67.7039
E7J	Bath	New Brunswick	Canada	46.5807	-67.5911
E7K	Centreville	New Brunswick	Canada	46.3982	-67.7174
E7L	Florenceville	New Brunswick	Canada	46.5528	-67.305
E7M	Woodstock	New Brunswick	Canada	46.158	-67.5838
E7N	Debec	New Brunswick	Canada	46.0555	-67.5839
E7P	Hartland	New Brunswick	Canada	46.2999	-67.5167
E8A	Saint-Quentin	New Brunswick	Canada	47.5133	-67.3929
E8B	Kedgwick	New Brunswick	Canada	47.6446	-67.3434
E8C	Dalhousie	New Brunswick	Canada	48.055	-66.3847
E8E	Balmoral	New Brunswick	Canada	47.679	-66.4342
E8G	Belledune	New Brunswick	Canada	47.8023	-66.1243
E8J	Petit-Rocher	New Brunswick	Canada	47.7941	-65.8219
E8K	Beresford	New Brunswick	Canada	47.6913	-65.6989
E8L	Allardville	New Brunswick	Canada	47.475	-65.495
E8M	Saint-Isidore	New Brunswick	Canada	47.5765	-65.1379
E8N	Grande-Anse	New Brunswick	Canada	47.8078	-65.1945
E8P	Inkerman	New Brunswick	Canada	47.6672	-64.8248
E8R	Paquetville	New Brunswick	Canada	47.6383	-65.1709
E8S	Shippagan	New Brunswick	Canada	47.7287	-64.7247
E8T	Lamèque	New Brunswick	Canada	47.7936	-64.6475
E9A	Baie-Sainte-Anne	New Brunswick	Canada	47.0188	-64.92
E9B	Blackville	New Brunswick	Canada	46.7398	-65.8319
E9C	Doaktown	New Brunswick	Canada	46.557	-66.1257
E9E	Red Bank	New Brunswick	Canada	46.8486	-65.6772
E9G	Neguac	New Brunswick	Canada	47.2489	-65.0741
E9H	Brantville	New Brunswick	Canada	47.3528	-65.0538
G0A	Capitale-Nationale (Stoneham)	Quebec	Canada	47.3507	-71.202
G0B	Cap-aux-Meules	Quebec	Canada	47.4501	-72.9913
G0C	Gaspésie-Sud (New Richmond)	Quebec	Canada	48.3429	-65.5961
G0E	Gaspésie-Nord (Grande-Vallée)	Quebec	Canada	48.9182	-65.3736
G0G	Côte-Nord/Anticosti (Schefferville)	Quebec	Canada	53.0413	-68.6884
G0H	Manicouagan (Baie-Trinité)	Quebec	Canada	49.3795	-67.8948
G0J	Gaspésie-Ouest (Causapscal)	Quebec	Canada	48.5246	-67.0565
G0K	Bas-St-Laurent-Est (Sainte-Luce)	Quebec	Canada	48.159	-68.1951
G0L	Bas-St-Laurent-Ouest (Trois-Pistoles)	Quebec	Canada	47.7136	-69.1658
G0M	Région de Beauce (Saint-Prosper-De-Dorchester)	Quebec	Canada	45.9718	-70.6565
G0N	Chaudière-Sud (Disraeli)	Quebec	Canada	46.0988	-71.1248
G0P	Centre-du-Québec-Est (Saint-Valère)	Quebec	Canada	46.0119	-71.7199
G0R	Appalaches (La Pocatière)	Quebec	Canada	46.798	-70.3288
G0S	Chaudière-Nord (Saint-Joseph-De-Beauce)	Quebec	Canada	46.4526	-71.4397
G0T	Le Fjord (Forestville)	Quebec	Canada	49.0143	-69.6231
G0V	Saguenay-Lac-St-Jean (Alouette)	Quebec	Canada	50.1719	-70.6283
G0W	Région de Mistassini (Chambord)	Quebec	Canada	49.834	-72.2623
G0X	Mauricie (Parent)	Quebec	Canada	47.9168	-74.6159
G0Y	L'Erable (Nantes)	Quebec	Canada	45.6242	-71.0191
G0Z	Centre-du-Québec-Nord (Daveluyville)	Quebec	Canada	46.179	-72.1569
G1A	Quebec Provincial Government	Quebec	Canada	46.8588	-71.192
G1B	Beauport North	Quebec	Canada	46.9263	-71.2258
G1C	Beauport Central	Quebec	Canada	46.8801	-71.196
G1E	Beauport South	Quebec	Canada	46.8588	-71.192
G1G	Jean-Talon Southeast	Quebec	Canada	46.8765	-71.2839
G1H	Charlesbourg South	Quebec	Canada	46.8528	-71.2573
G1J	Quebec City Lower Riverbank	Quebec	Canada	46.838	-71.2232
G1K	Quebec City Mid-Riverbank	Quebec	Canada	46.814	-71.2194
G1L	Quebec City Northeast	Quebec	Canada	46.8304	-71.2455
G1M	Quebec City North Central	Quebec	Canada	46.8183	-71.2706
G1N	Quebec City South Central	Quebec	Canada	46.8035	-71.2639
G1P	Quebec City West	Quebec	Canada	46.8097	-71.3102
G1R	Quebec City East	Quebec	Canada	46.8074	-71.2181
G1S	Quebec City South	Quebec	Canada	46.7933	-71.2453
G1T	Quebec City Upper Riverbank	Quebec	Canada	46.7741	-71.2609
G1V	Sainte-Foy Northeast	Quebec	Canada	46.7823	-71.2882
G1W	Sainte-Foy Southeast	Quebec	Canada	46.7589	-71.298
G1X	Sainte-Foy West	Quebec	Canada	46.7749	-71.3344
G1Y	Cap-Rouge	Quebec	Canada	46.7507	-71.3562
